formula, size, total, solver, subsumption, reverse
P0.5N2L10.form359, 10, 0, 0, 0, 
P0.5N2L10.form360, 13, 1, 0, 1, 
P0.5N2L10.form361, 10, 0, 0, 0, 
P0.5N2L10.form362, 13, 0, 0, 0, 
P0.5N2L10.form363, 10, 0, 0, 0, 
P0.5N2L10.form364, 13, 0, 0, 0, 
P0.5N2L10.form365, 10, 0, 0, 0, 
P0.5N2L10.form366, 13, 1, 0, 1, 
P0.5N2L10.form367, 13, 1, 1, 0, 
P0.5N2L10.form368, 13, 1, 0, 1, 
P0.5N2L10.form369, 16, 1, 0, 0, 
P0.5N2L10.form370, 10, 0, 0, 0, 
P0.5N2L10.form371, 13, 1, 1, 0, 
P0.5N2L10.form372, 10, 0, 0, 0, 
P0.5N2L10.form373, 13, 0, 0, 0, 
P0.5N2L10.form374, 19, 0, 0, 0, 
P0.5N2L10.form375, 13, 0, 0, 0, 
P0.5N2L10.form376, 13, 1, 0, 1, 
P0.5N2L10.form377, 16, 1, 1, 0, 
P0.5N2L10.form378, 10, 0, 0, 0, 
P0.5N2L10.form379, 13, 1, 1, 0, 
P0.5N2L10.form380, 13, 0, 0, 0, 
P0.5N2L10.form381, 13, 0, 0, 0, 
P0.5N2L10.form382, 16, 0, 0, 0, 
P0.5N2L10.form383, 10, 0, 0, 0, 
P0.5N2L10.form384, 16, 0, 0, 0, 
P0.5N2L10.form385, 13, 0, 0, 0, 
P0.5N2L10.form386, 13, 1, 0, 0, 
P0.5N2L10.form387, 13, 1, 1, 0, 
P0.5N2L10.form388, 16, 1, 0, 1, 
P0.5N2L10.form389, 16, 0, 0, 0, 
P0.5N2L10.form390, 19, 0, 0, 0, 
P0.5N2L10.form391, 13, 0, 0, 0, 
P0.5N2L10.form392, 13, 1, 1, 0, 
P0.5N2L10.form393, 13, 0, 0, 0, 
P0.5N2L10.form394, 10, 0, 0, 0, 
P0.5N2L10.form395, 13, 1, 1, 0, 
P0.5N2L10.form396, 13, 0, 0, 0, 
P0.5N2L10.form397, 10, 0, 0, 0, 
P0.5N2L10.form398, 19, 0, 0, 0, 
P0.5N2L10.form399, 10, 1, 1, 0, 
P0.5N2L10.form400, 16, 0, 0, 0, 
P0.5N2L10.form401, 13, 0, 0, 0, 
P0.5N2L10.form402, 13, 0, 0, 0, 
P0.5N2L10.form403, 16, 0, 0, 0, 
P0.5N2L10.form404, 16, 0, 0, 0, 
P0.5N2L10.form405, 16, 0, 0, 0, 
P0.5N2L10.form406, 10, 0, 0, 0, 
P0.5N2L10.form407, 13, 0, 0, 0, 
P0.5N2L10.form408, 16, 1, 1, 0, 
P0.5N2L10.form409, 13, 0, 0, 0, 
P0.5N2L10.form410, 13, 1, 0, 1, 
P0.5N2L10.form411, 13, 0, 0, 0, 
P0.5N2L10.form412, 13, 1, 0, 0, 
P0.5N2L10.form413, 10, 0, 0, 0, 
P0.5N2L10.form414, 13, 1, 0, 1, 
P0.5N2L10.form415, 10, 0, 0, 0, 
P0.5N2L10.form416, 16, 0, 0, 0, 
P0.5N2L10.form417, 13, 0, 0, 0, 
P0.5N2L10.form418, 13, 0, 0, 0, 
P0.5N2L10.form419, 13, 0, 0, 0, 
P0.5N2L10.form420, 13, 0, 0, 0, 
P0.5N2L10.form421, 13, 0, 0, 0, 
P0.5N2L10.form422, 13, 0, 0, 0, 
P0.5N2L10.form423, 16, 0, 0, 0, 
P0.5N2L10.form424, 16, 0, 0, 0, 
P0.5N2L10.form425, 13, 0, 0, 0, 
P0.5N2L10.form426, 10, 0, 0, 0, 
P0.5N2L10.form427, 10, 0, 0, 0, 
P0.5N2L10.form428, 19, 1, 1, 0, 
P0.5N2L10.form429, 10, 0, 0, 0, 
P0.5N2L10.form430, 16, 0, 0, 0, 
P0.5N2L10.form431, 13, 1, 1, 0, 
P0.5N2L10.form432, 13, 1, 1, 0, 
P0.5N2L10.form433, 13, 0, 0, 0, 
P0.5N2L10.form434, 10, 1, 1, 0, 
P0.5N2L10.form435, 19, 1, 1, 0, 
P0.5N2L10.form436, 10, 0, 0, 0, 
P0.5N2L10.form437, 10, 0, 0, 0, 
P0.5N2L10.form438, 13, 0, 0, 0, 
P0.5N2L10.form439, 16, 0, 0, 0, 
P0.5N2L10.form440, 16, 1, 0, 1, 
P0.5N2L10.form441, 13, 1, 0, 0, 
P0.5N2L10.form442, 16, 1, 1, 0, 
P0.5N2L10.form443, 13, 1, 1, 0, 
P0.5N2L10.form444, 16, 0, 0, 0, 
P0.5N2L10.form445, 16, 0, 0, 0, 
P0.5N2L10.form446, 13, 2, 0, 1, 
P0.5N2L10.form447, 13, 1, 1, 0, 
P0.5N2L10.form448, 10, 0, 0, 0, 
P0.5N2L10.form449, 10, 0, 0, 0, 
P0.5N2L10.form450, 13, 0, 0, 0, 
P0.5N2L10.form451, 16, 2, 1, 1, 
P0.5N2L10.form452, 22, 3, 1, 1, 
P0.5N2L10.form453, 13, 0, 0, 0, 
P0.5N2L10.form454, 10, 0, 0, 0, 
P0.5N2L10.form455, 19, 0, 0, 0, 
P0.5N2L10.form456, 13, 0, 0, 0, 
P0.5N2L10.form457, 16, 0, 0, 0, 
P0.5N2L10.form458, 16, 0, 0, 0, 
P0.5N2L10.form459, 10, 0, 0, 0, 
P0.5N2L10.form460, 10, 1, 1, 0, 
P0.5N2L10.form461, 13, 0, 0, 0, 
P0.5N2L10.form462, 13, 1, 0, 0, 
P0.5N2L10.form463, 13, 0, 0, 0, 
P0.5N2L10.form464, 10, 0, 0, 0, 
P0.5N2L10.form465, 13, 0, 0, 0, 
P0.5N2L10.form466, 16, 1, 0, 1, 
P0.5N2L10.form467, 13, 1, 0, 0, 
P0.5N2L10.form468, 13, 0, 0, 0, 
P0.5N2L10.form469, 16, 0, 0, 0, 
P0.5N2L10.form470, 13, 0, 0, 0, 
P0.5N2L10.form471, 13, 0, 0, 0, 
P0.5N2L10.form472, 13, 4, 4, 0, 
P0.5N2L10.form473, 16, 4, 4, 0, 
P0.5N2L10.form474, 13, 0, 0, 0, 
P0.5N2L10.form475, 13, 0, 0, 0, 
P0.5N2L10.form476, 10, 10, 10, 0, 
P0.5N2L10.form477, 10, 0, 0, 0, 
P0.5N2L10.form478, 13, 0, 0, 0, 
P0.5N2L10.form479, 13, 1, 0, 0, 
P0.5N2L10.form480, 13, 0, 0, 0, 
P0.5N2L10.form481, 10, 0, 0, 0, 
P0.5N2L10.form482, 13, 1, 0, 0, 
P0.5N2L10.form483, 10, 0, 0, 0, 
P0.5N2L10.form484, 10, 0, 0, 0, 
P0.5N2L10.form485, 16, 0, 0, 0, 
